"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=20select=0.99nActive=50",6.7025,8.7115,0,0.434741222900627,0
"split_gam5_B=20select=0.99nActive=50",6.7025,8.7115,0,0.434741222900627,0
"carve_gam30_B=20select=0.99nActive=50",6.7025,8.7115,0,0.434741222900627,0
"split_gam30_B=20select=0.99nActive=50",6.7025,8.7115,0,0.434741222900627,0
"carve_gam5_B=20select=0.99nActive=10",7.688,7.7485,0,0.498010401940549,0.01
"split_gam5_B=20select=0.99nActive=10",7.688,7.7485,0,0.498010401940549,0
"carve_gam30_B=20select=0.99nActive=10",7.688,7.7485,0,0.498010401940549,0.009
"split_gam30_B=20select=0.99nActive=10",7.688,7.7485,0,0.498010401940549,0
"carve_gam5_B=50select=0.5nActive=5",13.0082,2.5516,0.06,0.836050885686303,0.176
"split_gam5_B=50select=0.5nActive=5",13.0082,2.5516,0,0.836050885686303,0
"carve_gam30_B=50select=0.5nActive=5",13.0082,2.5516,0,0.836050885686303,0.084
"split_gam30_B=50select=0.5nActive=5",13.0082,2.5516,0,0.836050885686303,0
"carve_gam5_B=50select=0.5nActive=2",13.68,1.9772,0,0.873718501339573,0.995
"split_gam5_B=50select=0.5nActive=2",13.68,1.9772,0,0.873718501339573,0
"carve_gam30_B=50select=0.5nActive=2",13.68,1.9772,0,0.873718501339573,0.985
"split_gam30_B=50select=0.5nActive=2",13.68,1.9772,0,0.873718501339573,0
"carve_gam5_B=50select=0.5nActive=50",8.8262,6.7316,0.17,0.567309540167951,0.0026
"split_gam5_B=50select=0.5nActive=50",8.8262,6.7316,0,0.567309540167951,0
"carve_gam30_B=50select=0.5nActive=50",8.8262,6.7316,0.03,0.567309540167951,0
"split_gam30_B=50select=0.5nActive=50",8.8262,6.7316,0,0.567309540167951,0
"carve_gam5_B=50select=0.5nActive=10",10.9916,4.6156,0.01,0.704287145167003,0.114
"split_gam5_B=50select=0.5nActive=10",10.9916,4.6156,0,0.704287145167003,0.004
"carve_gam30_B=50select=0.5nActive=10",10.9916,4.6156,0,0.704287145167003,0.055
"split_gam30_B=50select=0.5nActive=10",10.9916,4.6156,0,0.704287145167003,0
"carve_gam5_B=50select=0.75nActive=5",11.9436,3.456,0.04,0.775592371198911,0.192
"split_gam5_B=50select=0.75nActive=5",11.9436,3.456,0,0.775592371198911,0
"carve_gam30_B=50select=0.75nActive=5",11.9436,3.456,0.01,0.775592371198911,0.118
"split_gam30_B=50select=0.75nActive=5",11.9436,3.456,0,0.775592371198911,0
"carve_gam5_B=50select=0.75nActive=2",13.4854,1.9992,0.01,0.870881912194266,0.965
"split_gam5_B=50select=0.75nActive=2",13.4854,1.9992,0,0.870881912194266,0
"carve_gam30_B=50select=0.75nActive=2",13.4854,1.9992,0.01,0.870881912194266,0.96
"split_gam30_B=50select=0.75nActive=2",13.4854,1.9992,0,0.870881912194266,0
"carve_gam5_B=50select=0.75nActive=50",7.449,7.9484,0.05,0.483788036697078,8e-04
"split_gam5_B=50select=0.75nActive=50",7.449,7.9484,0,0.483788036697078,0
"carve_gam30_B=50select=0.75nActive=50",7.449,7.9484,0.01,0.483788036697078,2e-04
"split_gam30_B=50select=0.75nActive=50",7.449,7.9484,0,0.483788036697078,0
"carve_gam5_B=50select=0.75nActive=10",9.1204,6.3762,0.01,0.588548633811587,0.088
"split_gam5_B=50select=0.75nActive=10",9.1204,6.3762,0,0.588548633811587,0
"carve_gam30_B=50select=0.75nActive=10",9.1204,6.3762,0,0.588548633811587,0.05
"split_gam30_B=50select=0.75nActive=10",9.1204,6.3762,0,0.588548633811587,0
"carve_gam5_B=50select=0.9nActive=5",11.3166,4.042,0.01,0.736866872363809,0.132
"split_gam5_B=50select=0.9nActive=5",11.3166,4.042,0,0.736866872363809,0
"carve_gam30_B=50select=0.9nActive=5",11.3166,4.042,0,0.736866872363809,0.066
"split_gam30_B=50select=0.9nActive=5",11.3166,4.042,0,0.736866872363809,0
"carve_gam5_B=50select=0.9nActive=2",13.4284,2,0,0.870360023357706,0.905
"split_gam5_B=50select=0.9nActive=2",13.4284,2,0,0.870360023357706,0
"carve_gam30_B=50select=0.9nActive=2",13.4284,2,0,0.870360023357706,0.91
"split_gam30_B=50select=0.9nActive=2",13.4284,2,0,0.870360023357706,0
"carve_gam5_B=50select=0.9nActive=50",6.9374,8.4458,0,0.451052259280146,0
"split_gam5_B=50select=0.9nActive=50",6.9374,8.4458,0,0.451052259280146,0
"carve_gam30_B=50select=0.9nActive=50",6.9374,8.4458,0.01,0.451052259280146,0
