"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=10select=0.99n=50p=200",4.346,3.314,0.01,0.567412949788433,0.058
"split_gam5_B=10select=0.99n=50p=200",4.346,3.314,0,0.567412949788433,0
"carve_gam30_B=10select=0.99n=50p=200",4.346,3.314,0,0.567412949788433,0.06
"split_gam30_B=10select=0.99n=50p=200",4.346,3.314,0,0.567412949788433,0
"carve_gam5_B=10select=0.99n=100p=133",10.526,5,0.01,0.677845351011167,0.318
"split_gam5_B=10select=0.99n=100p=133",10.526,5,0,0.677845351011167,0
"carve_gam30_B=10select=0.99n=100p=133",10.526,5,0,0.677845351011167,0.222
"split_gam30_B=10select=0.99n=100p=133",10.526,5,0,0.677845351011167,0
"carve_gam5_B=10select=0.99n=200p=200",10.257,5,0,0.67207833914421,0.954
"split_gam5_B=10select=0.99n=200p=200",10.257,5,0,0.67207833914421,0
"carve_gam30_B=10select=0.99n=200p=200",10.257,5,0,0.67207833914421,0.908
"split_gam30_B=10select=0.99n=200p=200",10.257,5,0,0.67207833914421,0
"carve_gam5_B=10select=0.99n=600p=200",26.79,5,0.01,0.842682930706443,0.506
"split_gam5_B=10select=0.99n=600p=200",26.79,5,0,0.842682930706443,0
"carve_gam30_B=10select=0.99n=600p=200",26.79,5,0.01,0.842682930706443,0.42
"split_gam30_B=10select=0.99n=600p=200",26.79,5,0,0.842682930706443,0
"carve_gam5_B=10select=0.99n=50p=1000",5.377,2.15,0,0.713940469668059,0.004
"split_gam5_B=10select=0.99n=50p=1000",5.377,2.15,0,0.713940469668059,0
"carve_gam30_B=10select=0.99n=50p=1000",5.377,2.15,0,0.713940469668059,0
"split_gam30_B=10select=0.99n=50p=1000",5.377,2.15,0,0.713940469668059,0
"carve_gam5_B=20select=0.5n=100p=200",13.0255,2.54,0.04,0.836840914715354,0.18
"split_gam5_B=20select=0.5n=100p=200",13.0255,2.54,0.08,0.836840914715354,0.056
"carve_gam30_B=20select=0.5n=100p=200",13.0255,2.54,0,0.836840914715354,0.096
"split_gam30_B=20select=0.5n=100p=200",13.0255,2.54,0,0.836840914715354,0
"carve_gam5_B=20select=0.5n=50p=200",5.8565,1.951,0.03,0.750135251536888,0.138
"split_gam5_B=20select=0.5n=50p=200",5.8565,1.951,0,0.750135251536888,0
"carve_gam30_B=20select=0.5n=50p=200",5.8565,1.951,0,0.750135251536888,0.04
"split_gam30_B=20select=0.5n=50p=200",5.8565,1.951,0,0.750135251536888,0
"carve_gam5_B=20select=0.5n=100p=133",11.2445,4.4555,0.01,0.716199476478092,0.582
"split_gam5_B=20select=0.5n=100p=133",11.2445,4.4555,0,0.716199476478092,0
"carve_gam30_B=20select=0.5n=100p=133",11.2445,4.4555,0,0.716199476478092,0.458
"split_gam30_B=20select=0.5n=100p=133",11.2445,4.4555,0,0.716199476478092,0
"carve_gam5_B=20select=0.5n=200p=200",10.605,4.916,0,0.683243663325928,0.998
"split_gam5_B=20select=0.5n=200p=200",10.605,4.916,0.11,0.683243663325928,0.226
"carve_gam30_B=20select=0.5n=200p=200",10.605,4.916,0,0.683243663325928,0.986
"split_gam30_B=20select=0.5n=200p=200",10.605,4.916,0,0.683243663325928,0.176
"carve_gam5_B=20select=0.5n=600p=200",27.356,4.9955,0.03,0.845580201558138,0.998
"split_gam5_B=20select=0.5n=600p=200",27.356,4.9955,0,0.845580201558138,0
"carve_gam30_B=20select=0.5n=600p=200",27.356,4.9955,0,0.845580201558138,0.982
"split_gam30_B=20select=0.5n=600p=200",27.356,4.9955,0,0.845580201558138,0
"carve_gam5_B=20select=0.5n=50p=1000",6.944,0.753,0.04,0.902120679769523,0.028
